frame,id,class,confidence,x1,y1,x2,y2,center_x,center_y,in_roi
2,1,2,0.8886806964874268,1,1560,774,2144,387,1852,0
2,2,3,0.8127811551094055,1722,0,2043,303,1882,151,0
2,3,2,0.604451596736908,2925,0,3340,157,3132,78,0
2,4,1,0.5810337066650391,3130,1759,3366,2157,3248,1958,0
4,1,2,0.8898540735244751,70,1691,678,2148,374,1919,0
4,2,3,0.8479502201080322,1724,0,2065,323,1894,161,0
4,3,2,0.6574601531028748,2909,0,3368,174,3138,87,0
6,1,2,0.7733986377716064,154,1856,559,2152,356,2004,0
6,2,3,0.8618596792221069,1719,0,2085,347,1902,173,0
6,3,2,0.7331839203834534,2892,0,3365,180,3128,90,0
8,2,3,0.6628824472427368,1716,0,2110,377,1913,188,0
8,3,2,0.706699550151825,2886,0,3380,188,3133,94,0
10,2,3,0.5643956661224365,1711,1,2134,409,1922,205,0
10,3,2,0.6378752589225769,2881,0,3401,198,3141,99,0
